Category,Subcategory,Journal,Journal_cleaned,Subcategory_cleaned,Category_cleaned
"Business, Economics & Management",Accounting & Taxation,The Accounting Review,theaccountingreview,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Contemporary Accounting Research,contemporaryaccountingresearch,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Accounting Auditing and Accountability Journal,accountingauditingandaccountabilityjournal,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Journal of Accounting and Economics,journalofaccountingandeconomics,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Review of Accounting Studies,reviewofaccountingstudies,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Accounting & Finance,accountingfinance,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Journal of Accounting Research,journalofaccountingresearch,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Meditari Accountancy Research,meditariaccountancyresearch,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Critical Perspectives on Accounting,criticalperspectivesonaccounting,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Accounting Organizations and Society,accountingorganizationsandsociety,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,The British Accounting Review,thebritishaccountingreview,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,European Accounting Review,europeanaccountingreview,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Managerial Auditing Journal,managerialauditingjournal,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Journal of Financial Reporting and Accounting,journaloffinancialreportingandaccounting,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,International Journal of Accounting Information Systems,internationaljournalofaccountinginformationsystems,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,International Journal of Accounting & Information Management,internationaljournalofaccountinginformationmanagement,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Journal of Applied Accounting Research,journalofappliedaccountingresearch,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Asian Journal of Accounting Research,asianjournalofaccountingresearch,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Accounting Education,accountingeducation,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management",Accounting & Taxation,Annual Conference on Taxation,annualconferenceontaxation,accountingtaxation,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",The Journal of Asian Finance Economics and Business,thejournalofasianfinanceeconomicsandbusiness,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",Information & Management,informationmanagement,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",Business Horizons,businesshorizons,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",Economic Research-Ekonomska Istraživanja,economicresearchekonomskaistraivanja,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",Benchmarking: An International Journal,benchmarkinganinternationaljournal,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",American Economic Journal: Applied Economics,americaneconomicjournalappliedeconomics,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",Cogent Business & Management,cogentbusinessmanagement,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",IEEE Transactions on Engineering Management,ieeetransactionsonengineeringmanagement,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",Management Information Systems Quarterly,managementinformationsystemsquarterly,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",International Journal of Forecasting,internationaljournalofforecasting,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",British Food Journal,britishfoodjournal,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",Information Systems Research,informationsystemsresearch,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",Journal of Enterprise Information Management,journalofenterpriseinformationmanagement,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",Journal of Public Affairs,journalofpublicaffairs,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",The Service Industries Journal,theserviceindustriesjournal,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",Environmental Innovation and Societal Transitions,environmentalinnovationandsocietaltransitions,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",Electronic Markets,electronicmarkets,businesseconomicsmanagementgeneral,businesseconomicsmanagement
"Business, Economics & Management","Business, Economics & Management (general)",European Journal of Information Systems,europeanjournalofinformationsystems,businesseconomicsmanagementgeneral,businesseconomicsmanagement
